scene_idx,scene_id,algo,snr_db,K,modulation,gain_err_dB,phase_err_deg,mutual_coupling,position_err_pct,rmspe_deg,elapsed_s,true_deg,est_deg
885,885,music,11.711248397827148,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,80.42835147466114,0.0004707910120487213,-59.8959;-39.0217;-21.8188,+21.7201;+39.0269;+59.7496
203,203,music,-3.2154996395111084,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,35.285456308899306,0.0004701249999925494,-15.3522;-8.3732;+56.5286,-56.8562;+8.1724;+14.8290
218,218,music,-7.812604904174805,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,40.191713601954724,0.0004744590260088444,-28.5496;+44.3044;+55.7787,-46.7760;-17.2785;+28.9186
931,931,music,-4.886223793029785,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,29.553678612893663,0.00047308299690485,-42.4562;-24.9527;+51.5915,-50.9845;+24.7426;+42.7649
325,325,music,3.1085591316223145,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,31.025850860791305,0.000469416962005198,-38.0849;-22.9924;+57.7052,-57.6853;+23.0377;+38.0873
656,656,music,14.47951889038086,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,18.57613400208767,0.0004678330151364207,-42.1388;-12.6430;+55.8462,-56.7243;+12.7419;+42.5013
818,818,music,1.3085472583770752,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,15.13121029845903,0.00046829204075038433,-37.4042;+3.3936;+55.4331,-54.9089;-3.2059;+37.0785
909,909,music,-9.353653907775879,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,36.46782109864369,0.0004678749246522784,-57.0359;-20.0985;+21.9915,-22.4206;+19.5118;+56.9559
802,802,music,7.512275218963623,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,8.133786730036865,0.00046562496572732925,-24.7018;+5.9075;+30.2768,-30.0104;-5.8022;+24.5169
681,681,music,13.334842681884766,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,25.4401263012065,0.00046966702211648226,-35.4130;-21.6830;+31.2880,-31.8468;+21.9627;+36.1806
741,741,music,3.287435531616211,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,62.29563192427011,0.00047279195860028267,-52.4365;-29.5054;-11.8297,+11.7502;+29.3420;+51.8829
284,284,music,-6.889547348022461,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,11.809525221199436,0.0004666249733418226,-36.9429;-32.2625;+34.3600,-34.5687;-11.9519;+33.8737
300,300,music,2.361135482788086,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,53.117962153029445,0.00046845804899930954,-19.8729;+38.1245;+55.6121,-56.1937;-38.4250;+19.7579
4,4,music,-1.9663500785827637,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,51.145945584834244,0.00046941707842051983,-57.2986;-49.5855;+16.4990,-16.6107;+18.7712;+55.4808
949,949,music,11.19666862487793,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,29.82259816890771,0.0004677089164033532,-31.8786;-13.7303;+0.7844,-0.7608;+13.5659;+31.6836
900,900,music,-2.5452046394348145,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,20.63567516384959,0.0004692919319495559,-34.3873;+16.8741;+26.4217,-26.3174;-16.9712;+34.5991
952,952,music,4.160910606384277,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,46.59682500668623,0.0004694160306826234,-56.3069;-32.3180;+22.7583,-22.8032;+32.5366;+57.1847
934,934,music,0.4221264123916626,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,33.09636892464233,0.00046845804899930954,-33.8210;-27.5613;+46.6384,-46.0460;+26.8876;+33.5241
728,728,music,7.9681878089904785,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,10.976632509194758,0.00046862498857080936,-33.3832;+5.7663;+22.6968,-22.8158;-5.7184;+33.5546
749,749,music,13.01108169555664,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,71.80970708142887,0.00046833406668156385,-54.3914;-41.9309;-10.5175,+10.4787;+42.5080;+53.7620
247,247,music,15.08165168762207,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,12.796393084224112,0.0004666249733418226,-23.8384;+8.8477;+14.0488,-14.2267;-8.6231;+23.7250
366,366,music,11.290481567382812,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,11.85782798661521,0.00048462499398738146,-40.6631;+3.7368;+27.1209,-26.7917;-3.6945;+40.3188
794,794,music,11.341054916381836,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,51.02873244544408,0.0004932909505441785,+4.3987;+22.3668;+49.3361,-49.4991;-22.4600;-4.4912
516,516,music,-9.962897300720215,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,45.32740706864198,0.00047075003385543823,-57.9900;-32.1643;+26.4246,-27.2374;+33.2681;+57.0286
53,53,music,1.9040213823318481,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,29.681290845858822,0.00046620797365903854,-28.7346;+21.6541;+48.0403,-48.2035;-21.7429;+28.5312
75,75,music,2.8911616802215576,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,52.948760486402044,0.000478208065032959,-15.1155;+33.7723;+59.4287,-58.8534;-33.4853;+14.9976
858,858,music,-3.105830430984497,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,32.2270238967727,0.00046987493988126516,-59.4203;+52.9971;+57.5186,-55.6714;-2.5970;+60.8328
457,457,music,-6.5805253982543945,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,62.53969877752993,0.00046737503726035357,-54.8624;-32.2407;-7.6789,+7.6195;+31.3064;+53.8956
14,14,music,15.746957778930664,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,28.232669898234178,0.00046983303036540747,-40.3057;-21.8733;+24.7208,-24.7706;+21.8470;+40.1624
116,116,music,-7.875835418701172,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,33.02974759473199,0.0004703750601038337,-56.7910;+28.6903;+52.5568,-51.0691;-28.1699;+55.2160
658,658,music,13.08852481842041,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,20.318805688615377,0.00046979100443422794,-30.7357;+13.6857;+46.3491,-46.3545;-13.6257;+30.5787
511,511,music,7.618252754211426,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,16.944528305490607,0.0004728749627247453,-27.0836;-14.5806;+26.6806,-26.4938;+14.7544;+27.3572
820,820,music,18.5789852142334,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,26.949695514323526,0.0004728749627247453,-30.4007;-22.3844;+20.9085,-20.9692;+22.3199;+30.4702
211,211,music,-0.8675438165664673,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,81.6531253562298,0.0004699580604210496,-58.1931;-41.1828;-22.8702,+23.0630;+41.7885;+57.8448
676,676,music,7.918525695800781,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,44.39126807567162,0.00047041696961969137,-17.8230;+34.9264;+40.8059,-40.3894;-34.9047;+17.8685
467,467,music,5.758861064910889,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,56.75527909330157,0.0004700829740613699,-38.9860;-29.7049;-17.4216,+17.2022;+27.6347;+39.3105
